,description,variety
690,"From what is now an estate property, once known as the Nugent Vineyard, Winside is brawny and brooding in wild strawberry compote, dark plum, blackberry and an inviting lushness. High-toned acidity keeps it from becoming overly dense on the palate. Strong tannin on the finish reflects a high-tannin vintage overall.",Pinot Noir
691,"Horsey plum and pie cherry aromas include a whiff of latex gloves and Band-Aid. This feels rather raw and acidic, with bite. Salty sharp red-fruit flavors finish herbal, with tartaric shear.",Cabernet Sauvignon
692,This light-bodied wine from a cool vintage wine shows jammy raspberry with hints of leather on the nose. It may have already peaked.,Cabernet Sauvignon
693,The volatiles are quite amped on this wine. It makes it a struggle to get at the tart black cherry flavors.,Cabernet Sauvignon
694,"A light, almost thin wine, this hints at green fruit, white stone fruits and mineral texture. Drink now for its fruitiness and crisp aftertaste.",Chardonnay
695,"This light-colored wine is attractively perfumed but with a grassy edge that suggests the fruit was underripe. Built for the short term, it will be ready from late 2017.",Pinot Noir
696,"Sour fruit, funky root beer, dried salami and asphalt aromas show on the nose of this rustic bottling. Dried fruit and espresso flavors mark the palate.",Red Blend
697,"This is a thin, unfussy wine that imparts bell pepper and asparagus in a sea of green flavor.",Cabernet Sauvignon
698,"Sweet and fruity, this canned wine feels soft and syrupy, with sugary pear as the primary flavor on the palate. It's a basic white wine in a convenient package.",Chardonnay
699,"Raisiny aromas lack freshness and lift. Following that lead, this Cabernet feels stewy and heavy, with questionable balance. Herbal flavors of stewed plum and tomato finish chunky and choppy.",Cabernet Sauvignon
700,"From the winery's most pebbly five-acre section of vineyard atop Diamond Mountain, this is dark black-purple in color. The tannins are soft but powerful, eager to age through 2025–2027, while the fruit lies on the currant and plum side of things, with a bit of cedar lurking through.",Cabernet Sauvignon
701,"A Cabernet-based blend, with Merlot, Malbec and Petit Verdot, this offers pleasing aromatic complexity, with notes of coffee, dark fruit and vanilla, accented by floral overtones. The palate is full bodied, with abundant coffee and cherry flavors backed by firm tannins. The fruit and oak seem to tussle a bit at present; try after 2017.",Red Blend
702,"Rich and varietally expressive on the nose, this Cabernet Sauvignon is softened by the addition of 15% Merlot, the two combining in layers of ripe plum and tobacco. With mouthwatering acidity and firm tannins, it offers a complete package of enjoyable, approachable Cabernet.",Cabernet Sauvignon
703,"An evenly dispersed nose of sage bark, cherry compote and lightly toasted cedar introduces this bottling by Fred Brander, a Santa Ynez Valley winemaking pioneer now actively trying to create a new Los Olivos District appellation. The flavors are balanced between cherry fruit and oak, with smooth tannins throughout.",Cabernet Sauvignon
704,"Hugely ripe, this is a dense and potentially intense wine. Its high alcohol brings out a disturbing pepper character that spoils the purity of the rich fruits and mineral texture. It shows the heat of the volcanic soil of Ragen de Thann Grand Cru in its rich fruits and ripe structure. It does need aging, so drink from 2017.",Riesling
705,"This is ripe and smooth, with a generous creamy texture. Spice and apple combine to give a tangy edge that will soften and integrate as the wine ages. It's full of potential. Drink from 2017.",Riesling
706,"Crafted from Wente clone grapes from Charles Ranch, this label is the passion project of longtime wine industry player Tony Lombardi, who manages the much larger Kosta Browne brand. Barrel-fermented in neutral oak this wine offers heady Tahitian vanilla and lemon curd around green apple skin and lemon. The palate is both creamy and crisp, the finish reasonably powerful.",Chardonnay
707,"From 100% estate-grown Cabernet Sauvignon and Merlot grown in the heart of the Stags Leap District, this earthy red offers black tea and coffee aromas and flavors, suggestions of wild sage and black pepper enveloping the nose. Medium to full-bodied, elegant and well-composed, the tannins are soft and structured, the wine able to age, drinking well now through 2020.",Cabernet Sauvignon
708,"A blend of 60% Syrah, 27% Merlot and a handful of other varieties added to the mix, this aromatically pops, with complex notes of plum, blueberry, smoke, chocolate and floral accents. It's silky smooth in feel, with abundant chocolaty flavors that help it go down far too easy.",Red Blend
709,"Herbal and earthy up front, this blend of Cabernet Sauvignon, Syrah, Carmenère and Malbec brings notes of green tobacco and black olive to the front along with toasty oak. The palate is tight and crisp, with choppy tannins. Flavors of toasty oak and berry fruit compote finish resiny, with juicy, zesty acidity. Drink through 2021.",Red Blend
710,"Lemony-vanilla crème brûlée rises to the fore in this medium-bodied Chardonnay. Medium to high in acidity, it retains a crisp freshness throughout its layers of fruit, finishing clean.",Chardonnay
711,"Exuberant, ripe fruit flavor energizes this medium-bodied yet smooth and fresh-textured wine. Shadings of spicy oak add complexity.  The freshness and fruit will make a great pairing with spiced meats.",Cabernet Sauvignon
712,"Raspberry and plum aromas are woody and narrow in scope. This Cabernet is medium in body but also a bit sticky and resiny. Candied blackberry and black cherry flavors are slightly medicinal, while the finish is oaky, with a lactic flavor and a touch of heat.",Cabernet Sauvignon
713,"This brightly aromatic wine suggests lime leaf, clover, wet stone and orange blossom. It drinks off dry (24 g/L residual sugar) with a broad feel and a narrowing finish.",Riesling
714,"Blended from several stellar vineyard sites, including La Cruz and Devoto, this wine presents a brightness of acidity and crisp, red fruit. These are offset by a heartier uptake of oak and tannin that feels out of place compared to many of the producer's single-vineyard offerings. On the finish, expect tart cranberry and pomegranate to peak.",Pinot Noir
715,"A very subtle aroma leads to a rich feel on the palate, where ripe plum and soft berry flavors emerge. This wine is totally smooth, warm and plush, full bodied but with soft tannins that make it easy to sip.",Pinot Noir
716,"Scents of lemon-cake icing meet the pretty yet not treacly tropical aromatics of white flowers on this barely off-dry wine. The sweetness is noticeable on the palate but far from overdone, with clean flavors of lemon custard, tangerine juice and a Key-lime finish.",Riesling
717,"Damp earth and forest floor mark this wine, a blend of various clones, the majority of which are Pommard. Red raspberry and cherry compete for attention aromatically and in taste, followed by a spiciness of Christmas clove.",Pinot Noir
718,"This warm-climate wine is fulsome and hearty in baked Asian pear and candied ginger. A dried-fruit quality stands out on the buxom palate, a buttery taste of dried apricot drizzled in honey and brioche.",Chardonnay
719,"This aromatic wine offers notes of jasmine, quinine, flowers and peach. It drinks medium sweet with lightly spritzy stone-fruit flavors.",Riesling
720,"Coming from the warm 2013 vintage, this easy-drinking wine offers notes of sweet corn, pear and peach with light barrel accents. The fruit flavors are elegant with a lightly creamy feel.",Chardonnay
721,"Chocolate, coconut, plum and coffee aromas lead the nose on this densely concentrated wine. The monolithic palate offers black cherry, chocolate-covered coconut and oak alongside astringent tannins that dry out the mouth.",Red Blend
722,"Milk chocolate and pomegranate curiously mix in this mid-weight, lowly oaked nonvintage Cabernet, blended with 18% Merlot and 2% Petite Sirah. New American oak aged most of it, with a bit of French, too, only 25% of the whole new.",Cabernet Sauvignon
723,"This is the first release from a new, two-acre vineyard devoted to this old-school clone. It's what might be called sculpted, with excellent definition among all the components. Pomegranate and raspberry fruit carry a hint of pine needle, and the finish carries  through with good focus and medium length.",Pinot Noir
